Epoch Number, Total Squared Error,Epoch Number, Total Squared Error,Epoch Number, Total Squared Error,Epoch Number, Total Squared Error, ,,,
,,250,0.201459,250,0.381585,250,0.103992, ,0.1007295,0.1907925,0.051996
,,251,0.197084,251,0.37107,251,0.102859, ,0.098542,0.185535,0.0514295
,,252,0.192871,252,0.36104,252,0.101748, ,0.0964355,0.18052,0.050874
,,253,0.188811,253,0.351464,253,0.100659, ,0.0944055,0.175732,0.0503295
,,254,0.184896,254,0.342316,254,0.099591, ,0.092448,0.171158,0.0497955
,,255,0.18112,255,0.33357, ,,,0.09056,0.166785,
,,256,0.177476,256,0.325202, ,,,0.088738,0.162601,
,,257,0.173957,257,0.31719, ,,,0.0869785,0.158595,
,,258,0.170558,258,0.309514, ,,,0.085279,0.154757,
,,259,0.167273,259,0.302156, ,,,0.0836365,0.151078,
,,260,0.164098,260,0.295096, ,,,0.082049,0.147548,
,,261,0.161026,261,0.28832, ,,,0.080513,0.14416,
,,262,0.158053,262,0.281811, ,,,0.0790265,0.1409055,
,,263,0.155176,263,0.275555, ,,,0.077588,0.1377775,
,,264,0.152389,264,0.269539, ,,,0.0761945,0.1347695,
,,265,0.149689,265,0.26375, ,,,0.0748445,0.131875,
,,266,0.147072,266,0.258176, ,,,0.073536,0.129088,
,,267,0.144535,267,0.252807, ,,,0.0722675,0.1264035,
,,268,0.142074,268,0.247633, ,,,0.071037,0.1238165,
,,269,0.139686,269,0.242643, ,,,0.069843,0.1213215,
,,270,0.137368,270,0.237828, ,,,0.068684,0.118914,
,,271,0.135118,271,0.233181, ,,,0.067559,0.1165905,
,,272,0.132932,272,0.228692, ,,,0.066466,0.114346,
,,273,0.130808,273,0.224356, ,,,0.065404,0.112178,
,,274,0.128744,274,0.220163, ,,,0.064372,0.1100815,
,,275,0.126737,275,0.216109, ,,,0.0633685,0.1080545,
,,276,0.124785,276,0.212186, ,,,0.0623925,0.106093,
,,277,0.122886,277,0.208389, ,,,0.061443,0.1041945,
,,278,0.121037,278,0.204712, ,,,0.0605185,0.102356,
,,279,0.119238,279,0.201149, ,,,0.059619,0.1005745,
,,280,0.117487,280,0.197697, ,,,0.0587435,0.0988485,
,,281,0.11578,281,0.194349, ,,,0.05789,0.0971745,
,,282,0.114118,282,0.191102, ,,,0.057059,0.095551,
,,283,0.112498,283,0.187952, ,,,0.056249,0.093976,
,,284,0.110919,284,0.184894, ,,,0.0554595,0.092447,
,,285,0.109379,285,0.181925, ,,,0.0546895,0.0909625,
,,286,0.107877,286,0.17904, ,,,0.0539385,0.08952,
,,287,0.106411,287,0.176238, ,,,0.0532055,0.088119,
,,288,0.104982,288,0.173514, ,,,0.052491,0.086757,
,,289,0.103586,289,0.170865, ,,,0.051793,0.0854325,
,,290,0.102224,290,0.168288, ,,,0.051112,0.084144,
